Program,Matrix,Threads,Avg,Median,StdDev
PYTHON,512,1,0.0994377,0.101915,0.0311816
CPP,512,1,0.00685606,0.00676135,0.00031221
PYTHON,512,2,0.0956365,0.095146,0.0204431
CPP,512,2,0.0047273,0.00463336,0.000374536
PYTHON,512,4,0.146211,0.147961,0.0105124
CPP,512,4,0.00364527,0.00334913,0.000610178
PYTHON,512,6,0.211428,0.20907,0.0191557
CPP,512,6,0.00440862,0.00432936,0.000430721
PYTHON,512,8,0.264905,0.262976,0.0233585
CPP,512,8,0.00767628,0.00490693,0.00827449
PYTHON,1024,1,0.183273,0.202386,0.0395456
CPP,1024,1,0.0548037,0.05449,0.00213627
PYTHON,1024,2,0.198486,0.196306,0.0289662
CPP,1024,2,0.0316163,0.031468,0.00054282
PYTHON,1024,4,0.315859,0.311578,0.0178958
CPP,1024,4,0.0235076,0.0234359,0.000341259
PYTHON,1024,6,0.45434,0.447891,0.0224861
CPP,1024,6,0.0243066,0.0238144,0.0027589
PYTHON,1024,8,0.596361,0.598712,0.0345061
CPP,1024,8,0.0267362,0.0246715,0.00626227
PYTHON,2048,1,0.62675,0.608203,0.0374259
CPP,2048,1,0.458301,0.448315,0.0277264
PYTHON,2048,2,0.638778,0.648585,0.0356767
CPP,2048,2,0.257612,0.259709,0.0134297
PYTHON,2048,4,0.819846,0.820987,0.0321224
CPP,2048,4,0.15902,0.157213,0.00847581
PYTHON,2048,6,1.06573,1.05219,0.0362535
CPP,2048,6,0.188066,0.191182,0.00834832
PYTHON,2048,8,1.53041,1.51859,0.0938185
CPP,2048,8,0.241575,0.238745,0.0128682
PYTHON,4096,1,3.16201,3.0582,0.203033
CPP,4096,1,3.97242,3.99954,0.197856
PYTHON,4096,2,2.94522,2.94907,0.0810286
CPP,4096,2,2.1362,2.10055,0.0753929
PYTHON,4096,4,3.60896,3.58223,0.103104
CPP,4096,4,1.49663,1.50047,0.0397325
PYTHON,4096,6,4.42512,4.43067,0.0710815
CPP,4096,6,1.55313,1.44754,0.416967
PYTHON,4096,8,5.08993,4.98423,0.276684
CPP,4096,8,1.46807,1.4563,0.0279013
